example_id,pdb_id,assembly_id,deposition_date,resolution,num_polymer_pn_units,n_prot,cluster,is_inter_molecule,pn_unit_1_iid,pn_unit_2_iid,stable_key,stable_hash,transform_ok,transform_error,evaluation_status
"{['pdb', 'interfaces']}{9ml8}{1}{['G_1', 'H_1']}",9ml8,1,2024-12-18,2.4,3,2,feb6bee15c4+2a1ecf73689,True,G_1,H_1,9ml8|1|G_1|H_1,00f8cecdb967f2ccbefb804ff35e2a78c2ba1db62ddba7f2a3103fcc9606d4c0,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsq}{1}{['A_1', 'B_1']}",9hsq,1,2024-12-19,1.77,2,1,c6e0837fb0a+9NN,True,A_1,B_1,9hsq|1|A_1|B_1,01df39257489c4149bb947ad1863972d4be17c94dac09b720c3a66a869a7f381,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsw}{1}{['A_1', 'C_1']}",9hsw,1,2024-12-19,1.76,2,1,c6e0837fb0a+A1IWS,True,A_1,C_1,9hsw|1|A_1|C_1,02b71a6c35ad1ac60d932050996d350325445916465259776b343680c4e7c614,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l3c}{1}{['B_1', 'EA_1']}",9l3c,1,2024-12-18,2.23,2,1,44966d25721+6NA,True,B_1,EA_1,9l3c|1|B_1|EA_1,042ae167e0af3c21606522f9e0d185433215b6bff861a40d0fe19a31e3f2f800,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mm0}{1}{['B_1', 'H_1']}",9mm0,1,2024-12-19,2.19,4,1,219b8757b84+CLF,True,B_1,H_1,9mm0|1|B_1|H_1,05541df69d29227a5636a6253bc379668b3434b0155b45f05107e4a501a267c2,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mm1}{1}{['C_1', 'J_1']}",9mm1,1,2024-12-19,2.08,4,1,2274cb1776e+ICS,True,C_1,J_1,9mm1|1|C_1|J_1,05da7f9a9f2d285e211be0a45f14a916a560912d8960e8093d899df49ab94042,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mm0}{1}{['C_1', 'I_1']}",9mm0,1,2024-12-19,2.19,4,1,2274cb1776e+HCA,True,C_1,I_1,9mm0|1|C_1|I_1,05e62f567d7bef3760accc504f84c0e0bec5ef03e4bb1361b57e482516d89318,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsg}{1}{['A_1', 'A_2']}",9hsg,1,2024-12-19,2.36,2,2,c6e0837fb0a+c6e0837fb0a,True,A_1,A_2,9hsg|1|A_1|A_2,06742761f8fdf25a753143ee62cea50b64b1521c469de4c1285027265ca244f0,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l3c}{1}{['B_1', 'T_1']}",9l3c,1,2024-12-18,2.23,2,1,44966d25721+BUA,True,B_1,T_1,9l3c|1|B_1|T_1,06b89ca3f525aadffc08b3c6bd91675e943bedc4a9c4b57633db537bc97696e3,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mlz}{1}{['C_1', 'J_1']}",9mlz,1,2024-12-19,2.19,4,1,2274cb1776e+ICS,True,C_1,J_1,9mlz|1|C_1|J_1,06d0dd7030c0d23a90b69cc9f125e055630cd72ce96d1cee2770daf26c851e6c,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mm0}{1}{['B_1', 'D_1']}",9mm0,1,2024-12-19,2.19,4,2,219b8757b84+219b8757b84,True,B_1,D_1,9mm0|1|B_1|D_1,0748c0d5b28ea324db7d507822607b30e0254d513370ff6355009a9e0eeb9919,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mlz}{1}{['C_1', 'G_1']}",9mlz,1,2024-12-19,2.19,4,1,2274cb1776e+FE,True,C_1,G_1,9mlz|1|C_1|G_1,0895ac3e2b02b3032175096da2a74657e8f65760173de2daee9f86aaef23abb6,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hso}{1}{['A_1', 'C_1']}",9hso,1,2024-12-19,2.3,2,1,c6e0837fb0a+0PY,True,A_1,C_1,9hso|1|A_1|C_1,08f2c0fdcd2394c1dc059f68ecad36d7d5b6d42c9f3395592f09e44688fe6c24,,,requires_transform_preflight
